state,election_date,election_type,office,district,county,ocd_division_id,candidate_name,party,incumbent,source_url
WA,2026-08-04,Primary,ASSESSOR,Chelan County,Chelan,ocd-division/country:us/state:wa/county:chelan,Britini Port,Independent Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,ASSESSOR,Chelan County,Chelan,ocd-division/country:us/state:wa/county:chelan,Wes Cornelius,GOP Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,ASSESSOR,County,Lincoln,ocd-division/country:us/state:wa/county:lincoln,J Scott Liebing,Republican - GOP Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,AUDITOR,Chelan County,Chelan,ocd-division/country:us/state:wa/county:chelan,Brandt Cappell,Republican Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,AUDITOR,Chelan County,Chelan,ocd-division/country:us/state:wa/county:chelan,Brian Brett,Republican Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,AUDITOR,County,Lincoln,ocd-division/country:us/state:wa/county:lincoln,Chandra L Schumacher,Republican Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,King,ocd-division/country:us/state:wa/county:king,Al Dams,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,Benton,ocd-division/country:us/state:wa/county:benton,Bill Spencer,Republican Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,Walla Walla,ocd-division/country:us/state:wa/county:walla_walla,Byron Burres,Republican Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,Franklin,ocd-division/country:us/state:wa/county:franklin,Chris Hollingsworth,Republican Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,King,ocd-division/country:us/state:wa/county:king,Christopher Roberts,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,Jefferson,ocd-division/country:us/state:wa/county:jefferson,Chuck Garland,Democratic Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,Skamania,ocd-division/country:us/state:wa/county:skamania,Cora Moser,Republican Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,Adams,ocd-division/country:us/state:wa/county:adams,Curtis Templin,Republican Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,Grays Harbor,ocd-division/country:us/state:wa/county:grays_harbor,Dan Lindgren,Republican Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,Skagit,ocd-division/country:us/state:wa/county:skagit,Danny Hagen,Independent Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,King,ocd-division/country:us/state:wa/county:king,Dominique M Scarimbolo,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,Cowlitz,ocd-division/country:us/state:wa/county:cowlitz,Emily Wilcox,Independent Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,Skamania,ocd-division/country:us/state:wa/county:skamania,Gabriel P Spencer,Democrat Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,Thurston,ocd-division/country:us/state:wa/county:thurston,JJ Olson,Democratic Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,Yakima,ocd-division/country:us/state:wa/county:yakima,Jacob Tate,Republican Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,Douglas,ocd-division/country:us/state:wa/county:douglas,Jim Ruud,Republican Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,Primary,Assessor,County,Franklin,ocd-division/country:us/state:wa/county:franklin,John A Rosenau,Republican Party,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
