state,county,ocd_division_id,election_date,election_type,entry_type,office,district,candidate_name,party,measure_id,title,source_url
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Assessor,County,Curtis Templin,Republican Party,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Assessor,County,Veronica Rodriguez,Republican Party,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Auditor,County,Courtney Fannin,Republican Party,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Auditor,County,Jacque Laird,Republican Party,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Auditor,County,Stephanie Dormaier,Republican Party,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Clerk,County,Catherine R. Sloan,Republican Party,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,County Commissioner District 3,Commissioner District 3,Eleanor Brodahl,Democrat Party,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,County Commissioner District 3,Commissioner District 3,"Miguel A.""Mike"" Garza",Republican Party,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Justice Position #01,Supreme Court,Colleen Melody,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Justice Position #01,Supreme Court,Laura Christensen Colberg,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Justice Position #01,Supreme Court,Scott Edwards,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Justice Position #03,Supreme Court,David Stevens,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Justice Position #03,Supreme Court,Jaime Michelle Hawk,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Justice Position #03,Supreme Court,Mike Diaz,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Justice Position #05,Supreme Court,Dave Larson,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Justice Position #05,Supreme Court,Greg Miller,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Justice Position #05,Supreme Court,Sharonda Amamilo,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Justice Position #05,Supreme Court,Theo Angelis,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Justice Position #07,Supreme Court,David R Shelvey,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Justice Position #07,Supreme Court,Debra L. Stephens,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Justice Position #07,Supreme Court,Karim A. Merchant,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Justice Position #07,Supreme Court,Todd A. Bloom,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Precinct Committee Officer - Republican,Ritzville Rural Se,JOHN E FAURE,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Precinct Committee Officer - Republican,Ritzville Rural Se,Phil Peterson,,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Prosecutor,County,Randy J. Flyckt,Republican Party,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Sheriff,County,Dale J. Wagner,republican Party,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/county:adams,2026-08-04,Primary,candidate,Sheriff,County,Matthew Carlson,Republican Party,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/sldl:9,2026-08-04,Primary,candidate,State Representative Pos. 1,Legislative District 9,Mary Dye,Republican Party,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/sldl:13,2026-08-04,Primary,candidate,State Representative Pos. 1,Legislative District 13,"Juan ""Jerry"" Garcia",Democratic Party,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/sldl:13,2026-08-04,Primary,candidate,State Representative Pos. 1,Legislative District 13,Tom Dent,Republican Party,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
WA,Adams,ocd-division/country:us/state:wa/sldl:9,2026-08-04,Primary,candidate,State Representative Pos. 2,Legislative District 9,Joe Schmick,Republican Party,,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=01&p=
