state,election_date,measure_id,title,summary,full_text_url,jurisdiction,county,ocd_division_id,source_url
WA,,IL26-001,Initiative No. IL26-001,Ballot title letter: https://www.sos.wa.gov/sites/default/files/2026-03/INITIATIVE IL26-001 ballottitleletter.pdf,https://www.sos.wa.gov/sites/default/files/2026-03/INITIATIVE IL26-001 fulltext.pdf,state,,ocd-division/country:us/state:wa,https://www.sos.wa.gov/so/node/12667
WA,,IL26-638,Initiative No. IL26-638,Ballot title letter: https://www.sos.wa.gov/sites/default/files/2026-03/INITIATIVE IL26-638 ballottitleletter.pdf,https://www.sos.wa.gov/sites/default/files/2026-03/INITIATIVE IL26-638 fulltext.pdf,state,,ocd-division/country:us/state:wa,https://www.sos.wa.gov/so/node/12667
WA,,IP26-645,Initiative No. IP26-645,Ballot title letter: https://www.sos.wa.gov/sites/default/files/2026-07/IP26-645 Ballot title %26 Summary.pdf,https://www.sos.wa.gov/sites/default/files/2026-07/Finaltext_IP26-645_fulltext.pdf,state,,ocd-division/country:us/state:wa,https://www.sos.wa.gov/so/node/12667
WA,2026-08-04,7230,WASHTUCNA PARK AND RECREATION 2 - Special Election Proposition No. 1,Maintenance and Operation Levy,,Local,Adams,ocd-division/country:us/state:wa/county:adams,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7231,LIND PARK AND RECREATION 3 - Special Election Proposition No. 1,Maintenance and Operation Levy,,Local,Adams,ocd-division/country:us/state:wa/county:adams,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7232,RITZVILLE PARK AND RECREATION 4 - Special Election Proposition No. 1,Maintenance and Operation Levy,,Local,Adams,ocd-division/country:us/state:wa/county:adams,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7233,CEMETERY DISTRICT 1 - Special Election Proposition No. 1,Maintenance and Operation Levy,,Local,Adams,ocd-division/country:us/state:wa/county:adams,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7173,Fire District #6 - Proposition No. 1,Emergency Medical Services Property Tax Levy,,Local,Benton,ocd-division/country:us/state:wa/county:benton,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7187,Fire District #4 - Proposition No. 1,Multi Year Permanent Levy Lid Lift,,Local,Benton,ocd-division/country:us/state:wa/county:benton,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7218,Fire Protection District No. 2 - Proposition 1,Property Tax Levy For Emergency Medical Services,,Local,Clallam,ocd-division/country:us/state:wa/county:clallam,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7221,FIRE PROTECTION DISTRICT NO. 10 - Proposition No. 3,"New Fire Station General Obligation Bonds - $15,200,000",,Local,Clark,ocd-division/country:us/state:wa/county:clark,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7222,EAST COUNTY FIRE AND RESCUE - Proposition No. 6,Proposition authorizing and continuing regular emergency medical services property tax levy,,Local,Clark,ocd-division/country:us/state:wa/county:clark,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7191,PUBLIC HOSPITAL DISTRICT NO. 1 - Proposition No. 1 Renewal of One-Year Special Levy,Renewal of One-Year Special Levy,,Local,Douglas; Okanogan,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7192,DOUGLAS-OKANOGAN FIRE DISTRICT NO. 15 - Proposition No. 1 Emergency Medical Services Property Tax Levy,Emergency Medical Services Levy,,Local,Douglas; Okanogan,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7225,Grant County  Hospital Dist #5 - Proposition No. 1,Multi-year Levy Lid Lift For Health Care Services,,Local,Grant,ocd-division/country:us/state:wa/county:grant,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7170,Fire District 7 - Fire District No.7 - Ambulance Excess Levy,,,Local,Grays Harbor,ocd-division/country:us/state:wa/county:grays_harbor,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
WA,2026-08-04,7208,Fire Protection Dist 12 - Renewal and Increase of Emergency Medical Services Levy,Renewal and Increase of Emergency Medical Services Levy,,Local,Grays Harbor; Mason,,https://voter.votewa.gov/elections/voterguide.ashx?e=898&la=en&c=&p=
